1	2	5	7	
2	3	6	8	
3	4	7	9	
4	5	8	10	
5	6	9	11	
6	7	10	12	
7	8	11	13	
8	9	12	14	
9	10	13	15	
10	11	14	16	
11	12	15	17	
12	13	16	18	
13	14	17	19	
14	15	18	20	
15	16	19	21	
16	17	20	22	
17	18	21	23	
18	19	22	24	
19	20	23	25	
20	21	24	26	
21	22	25	27	
22	23	27	1	
23	24	26	2	
24	25	1	3	
25	26	2	4	
26	27	3	5	
27	1	4	6	
24	nuke	8	13	1	
1	3	9	13	
2	4	10	14	
3	5	11	15	
4	6	12	16	
5	7	13	17	
6	8	14	18	
7	9	15	19	
8	10	16	20	
9	11	17	21	
10	12	18	22	
11	13	19	23	
12	14	20	24	
13	15	21	25	
14	16	22	26	
15	17	23	27	
16	18	24	1	
17	19	25	2	
18	20	27	3	
19	21	26	4	
20	22	1	5	
21	23	2	6	
22	24	3	7	
23	25	4	8	
24	26	5	9	
25	27	6	10	
26	1	7	11	
27	2	8	12	
16	19	nuke	5	1	
1	4	12	17	
2	5	13	18	
3	6	14	19	
4	7	15	20	
5	8	16	21	
6	9	17	22	
7	10	18	23	
8	11	19	24	
9	12	20	25	
10	13	21	26	
12	15	23	1	
13	16	24	2	
14	17	25	3	
15	18	27	4	
17	20	1	6	
18	21	2	7	
19	22	3	8	
20	23	4	9	
21	24	5	10	
22	25	6	11	
23	26	7	12	
25	1	9	14	
26	2	10	15	
27	3	11	16	
11	14	22	nuke	1	
1	5	14	2	
2	6	15	3	
3	7	16	4	
4	8	17	5	
5	9	18	6	
6	10	19	7	
7	11	20	8	
8	12	21	9	
9	13	22	10	
10	14	23	11	
11	15	24	12	
12	16	25	13	
13	17	27	14	
14	18	26	15	
15	19	1	16	
16	20	2	17	
17	21	3	18	
18	22	4	19	
19	23	5	20	
20	24	6	21	
21	25	7	22	
22	26	8	23	
23	27	9	24	
24	1	10	25	
25	2	11	26	
26	3	12	27	
27	4	13	1	
nuke	27	26	27	1	
