2	7	1	11	14	6	2	15	4	3	10	9	13	3	3	3	8	13	12
7	12	3	1	4	11	1	5	9	2	15	14	3	1	8	8	13	14	2
12	2	2	6	9	1	3	10	14	1	5	4	8	2	13	13	3	15	7
3	8	1	12	15	7	13	1	5	2	11	10	14	2	4	4	9	1	13
5	10	2	14	2	9	14	3	7	3	13	12	1	1	6	6	11	2	15
1	6	3	10	13	5	15	14	3	1	9	8	12	3	2	2	7	3	11
4	9	3	13	1	8	2	2	6	13	12	11	15	2	5	5	10	2	14
6	11	2	15	3	10	1	4	8	14	14	13	2	3	7	7	12	1	1
13	3	1	7	10	2	3	11	15	15	6	5	9	1	14	14	4	3	8
8	13	1	2	5	12	1	6	10	1	1	15	4	13	9	9	14	2	3
9	14	2	3	6	13	2	7	11	2	2	1	5	14	10	10	15	3	4
15	5	3	9	12	4	3	13	2	3	8	7	11	15	1	1	6	1	10
10	15	13	4	7	14	1	8	12	3	3	2	6	2	11	11	1	3	5
11	1	14	5	8	15	3	9	13	2	4	3	7	3	12	12	2	2	6
14	4	15	8	11	3	2	12	1	1	7	6	10	1	15	15	5	1	9
3	10	4	15	4	13	5	8	14	6	6	7	12	6	5	9	2	13	9
8	15	6	5	9	3	4	13	4	5	11	12	2	4	10	14	7	14	14
13	5	5	10	14	8	6	3	9	4	1	2	7	5	15	4	12	15	4
4	11	4	1	5	14	13	9	15	5	7	8	13	5	6	10	3	4	10
6	13	5	3	7	1	14	11	2	6	9	10	15	4	8	12	5	5	12
2	9	6	14	3	12	15	7	13	4	5	6	11	6	4	8	1	6	8
5	12	6	2	6	15	5	10	1	13	8	9	14	5	7	11	4	5	11
7	14	5	4	8	2	4	12	3	14	10	11	1	6	9	13	6	4	13
14	6	4	11	15	9	6	4	10	15	2	3	8	4	1	5	13	6	5
9	1	4	6	10	4	4	14	5	4	12	13	3	13	11	15	8	5	15
10	2	5	7	11	5	5	15	6	5	13	14	4	14	12	1	9	6	1
1	8	6	13	2	11	6	6	12	6	4	5	10	15	3	7	15	4	7
11	3	13	8	12	6	4	1	7	6	14	15	5	5	13	2	10	6	2
12	4	14	9	13	7	6	2	8	5	15	1	6	6	14	3	11	5	3
15	7	15	12	1	10	5	5	11	4	3	4	9	4	2	6	14	4	6
4	12	7	3	8	5	8	13	10	9	14	2	9	9	4	15	11	13	7
9	2	9	8	13	10	7	3	15	8	4	7	14	7	9	5	1	14	12
14	7	8	13	3	15	9	8	5	7	9	12	4	8	14	10	6	15	2
5	13	7	4	9	6	13	14	11	8	15	3	10	8	5	1	12	7	8
7	15	8	6	11	8	14	1	13	9	2	5	12	7	7	3	14	8	10
3	11	9	2	7	4	15	12	9	7	13	1	8	9	3	14	10	9	6
6	14	9	5	10	7	8	15	12	13	1	4	11	8	6	2	13	8	9
8	1	8	7	12	9	7	2	14	14	3	6	13	9	8	4	15	7	11
15	8	7	14	4	1	9	9	6	15	10	13	5	7	15	11	7	9	3
10	3	7	9	14	11	7	4	1	7	5	8	15	13	10	6	2	8	13
11	4	8	10	15	12	8	5	2	8	6	9	1	14	11	7	3	9	14
2	10	9	1	6	3	9	11	8	9	12	15	7	15	2	13	9	7	5
12	5	13	11	1	13	7	6	3	9	7	10	2	8	12	8	4	9	15
13	6	14	12	2	14	9	7	4	8	8	11	3	9	13	9	5	8	1
1	9	15	15	5	2	8	10	7	7	11	14	6	7	1	12	8	7	4
5	8	10	6	13	2	11	4	9	12	3	15	11	12	12	10	5	13	14
10	13	12	11	3	7	10	9	14	11	8	5	1	10	2	15	10	14	4
15	3	11	1	8	12	12	14	4	10	13	10	6	11	7	5	15	15	9
6	9	10	7	14	3	13	5	10	11	4	1	12	11	13	11	6	10	15
8	11	11	9	1	5	14	7	12	12	6	3	14	10	15	13	8	11	2
4	7	12	5	12	1	15	3	8	10	2	14	10	12	11	9	4	12	13
7	10	12	8	15	4	11	6	11	13	5	2	13	11	14	12	7	11	1
9	12	11	10	2	6	10	8	13	14	7	4	15	12	1	14	9	10	3
1	4	10	2	9	13	12	15	5	15	14	11	7	10	8	6	1	12	10
11	14	10	12	4	8	10	10	15	10	9	6	2	13	3	1	11	11	5
12	15	11	13	5	9	11	11	1	11	10	7	3	14	4	2	12	12	6
3	6	12	4	11	15	12	2	7	12	1	13	9	15	10	8	3	10	12
13	1	13	14	6	10	10	12	2	12	11	8	4	11	5	3	13	12	7
14	2	14	15	7	11	12	13	3	11	12	9	5	12	6	4	14	11	8
2	5	15	3	10	14	11	1	6	10	15	12	8	10	9	7	2	10	11
