15	--	2	5	1	
1	2	4	7	--	
2	3	5	8	--	
3	4	6	9	--	
4	5	7	10	--	
5	6	9	11	--	
6	7	8	12	--	
13	14	--	3	1	
7	8	10	13	--	
8	9	11	14	--	
9	10	12	15	--	
11	12	14	1	--	
12	13	16	2	--	
14	15	1	4	--	
16	1	3	6	--	
10	11	13	--	1	
1	3	7	11	--	
2	4	9	12	--	
3	5	8	13	--	
4	6	10	14	--	
5	7	11	15	--	
6	8	12	16	--	
7	9	13	1	--	
8	10	14	2	--	
9	11	16	3	--	
10	12	15	4	--	
11	13	1	5	--	
12	14	2	6	--	
13	15	3	7	--	
14	16	4	8	--	
15	1	5	9	--	
16	2	6	10	--	
6	--	14	3	2	
2	5	10	15	--	
3	6	11	16	--	
4	7	12	1	--	
5	8	13	2	--	
7	10	16	4	--	
8	11	15	5	--	
1	4	--	14	2	
9	12	1	6	--	
10	13	2	7	--	
11	14	3	8	--	
13	16	5	10	--	
14	1	6	11	--	
15	2	7	12	--	
16	3	9	13	--	
12	15	4	--	2	
1	5	9	6	--	
2	6	8	7	--	
3	7	10	8	--	
4	8	11	9	--	
5	9	12	10	--	
6	10	13	11	--	
7	11	14	12	--	
8	12	16	13	--	
9	13	15	14	--	
10	14	1	15	--	
11	15	2	16	--	
12	16	3	1	--	
13	1	4	2	--	
14	2	5	3	--	
15	3	6	4	--	
16	4	7	5	--	
--	16	15	16	1	
--	9	8	9	2	
