20	nuke	5	16	1	
1	2	7	18	
2	3	8	19	
3	4	9	20	
5	6	11	1	
6	7	12	2	
7	8	13	3	
8	9	14	4	
9	10	15	5	
10	11	16	6	
15	16	nuke	11	1	
11	12	17	7	
12	13	19	8	
13	14	18	9	
14	15	21	10	
16	17	1	12	
17	18	2	13	
18	19	3	14	
19	20	4	15	
21	1	6	17	
4	5	10	nuke	1	
1	3	11	2	
2	4	12	3	
3	5	13	4	
4	6	14	5	
5	7	15	6	
6	8	16	7	
7	9	17	8	
8	10	19	9	
9	11	18	10	
10	12	21	11	
11	13	20	12	
12	14	1	13	
13	15	2	14	
14	16	3	15	
15	17	4	16	
16	18	5	17	
17	19	6	18	
18	20	7	19	
19	21	8	20	
20	1	9	21	
21	2	10	1	
16	nuke	8	15	2	
1	4	14	21	
2	5	15	1	
3	6	16	2	
4	7	17	3	
5	8	19	4	
7	10	21	6	
8	11	20	7	
9	12	1	8	
10	13	2	9	
6	9	nuke	5	2	
11	14	3	10	
12	15	4	11	
13	16	5	12	
14	17	6	13	
15	18	7	14	
17	20	9	16	
18	21	10	17	
19	1	11	18	
21	3	13	20	
20	2	12	nuke	2	
1	5	17	11	
2	6	19	12	
3	7	18	13	
4	8	21	14	
5	9	20	15	
6	10	1	16	
7	11	2	17	
8	12	3	18	
9	13	4	19	
10	14	5	20	
11	15	6	21	
12	16	7	1	
13	17	8	2	
14	18	9	3	
15	19	10	4	
16	20	11	5	
17	21	12	6	
18	1	13	7	
19	2	14	8	
20	3	15	9	
21	4	16	10	
nuke	21	20	21	1	
nuke	19	18	19	2	
