27	nuke	3	5	1	
1	2	5	7	
2	3	6	8	
3	4	7	9	
4	5	8	10	
5	6	9	11	
6	7	10	12	
7	8	11	13	
8	9	12	14	
9	10	13	15	
10	11	14	16	
11	12	15	17	
12	13	16	18	
24	25	nuke	2	1	
13	14	17	19	
14	15	18	20	
15	16	19	21	
16	17	20	22	
17	18	21	23	
18	19	22	24	
19	20	23	25	
20	21	24	26	
21	22	25	27	
23	24	28	1	
25	26	1	3	
26	27	2	4	
28	1	4	6	
22	23	27	nuke	1	
1	3	9	13	
2	4	10	14	
3	5	11	15	
4	6	12	16	
5	7	13	17	
6	8	14	18	
7	9	15	19	
8	10	16	20	
9	11	17	21	
10	12	18	22	
11	13	19	23	
12	14	20	24	
13	15	21	25	
14	16	22	26	
15	17	23	27	
16	18	24	28	
17	19	25	1	
18	20	27	2	
19	21	28	3	
20	22	26	4	
21	23	1	5	
22	24	2	6	
23	25	3	7	
24	26	4	8	
25	27	5	9	
26	28	6	10	
27	1	7	11	
28	2	8	12	
24	nuke	7	12	2	
1	4	12	17	
2	5	13	18	
3	6	14	19	
4	7	15	20	
5	8	16	21	
6	9	17	22	
7	10	18	23	
8	11	19	24	
9	12	20	25	
10	13	21	26	
12	15	23	28	
13	16	24	1	
16	19	nuke	4	2	
14	17	25	2	
15	18	27	3	
17	20	26	5	
18	21	1	6	
19	22	2	7	
20	23	3	8	
21	24	4	9	
22	25	5	10	
23	26	6	11	
25	28	8	13	
26	1	9	14	
27	2	10	15	
28	3	11	16	
11	14	22	nuke	2	
1	5	14	25	
2	6	15	26	
3	7	16	27	
4	8	17	28	
5	9	18	1	
6	10	19	2	
7	11	20	3	
8	12	21	4	
9	13	22	5	
10	14	23	6	
11	15	24	7	
12	16	25	8	
13	17	27	9	
14	18	28	10	
15	19	26	11	
16	20	1	12	
17	21	2	13	
18	22	3	14	
19	23	4	15	
20	24	5	16	
21	25	6	17	
22	26	7	18	
23	27	8	19	
24	28	9	20	
25	1	10	21	
26	2	11	22	
27	3	12	23	
28	4	13	24	
nuke	28	26	28	1	
nuke	27	28	27	2	
