1	2	3	4	--	
2	3	4	5	--	
3	4	5	6	--	
4	5	6	7	--	
5	6	7	8	--	
6	7	8	9	--	
7	8	9	10	--	
8	9	10	11	--	
9	10	11	12	--	
10	11	12	13	--	
11	12	13	14	--	
12	13	15	15	--	
13	14	14	1	--	
14	15	1	2	--	
15	1	2	3	--	
12	--	3	6	1	
1	3	5	7	--	
2	4	6	8	--	
3	5	7	9	--	
4	6	8	10	--	
5	7	9	11	--	
6	8	10	12	--	
7	9	11	13	--	
8	10	12	14	--	
9	11	13	15	--	
10	12	15	1	--	
11	13	14	2	--	
12	14	1	3	--	
13	15	2	4	--	
14	1	3	5	--	
15	2	4	6	--	
9	12	--	3	1	
1	4	7	10	--	
2	5	8	11	--	
3	6	9	12	--	
4	7	10	13	--	
5	8	11	14	--	
7	10	13	1	--	
8	11	15	2	--	
10	13	1	4	--	
11	14	2	5	--	
13	1	4	7	--	
14	2	5	8	--	
15	3	6	9	--	
6	9	12	--	1	
1	5	9	13	--	
2	6	10	14	--	
3	7	11	15	--	
4	8	12	1	--	
5	9	13	2	--	
6	10	15	3	--	
7	11	14	4	--	
8	12	1	5	--	
9	13	2	6	--	
10	14	3	7	--	
11	15	4	8	--	
12	1	5	9	--	
13	2	6	10	--	
14	3	7	11	--	
15	4	8	12	--	
--	15	14	15	1	
