1	2	--	11	1	
2	3	8	12	--	
3	--	9	13	1	
4	5	10	14	--	
5	6	11	5	--	
6	7	12	1	--	
7	8	13	2	--	
8	9	14	3	--	
9	10	7	4	--	
10	11	1	--	1	
11	12	2	6	--	
12	13	3	7	--	
13	14	4	8	--	
14	4	5	9	--	
1	3	10	5	--	
2	--	11	1	2	
3	5	12	2	--	
4	6	13	3	--	
5	7	14	4	--	
6	8	7	--	2	
7	9	1	6	--	
8	10	2	7	--	
9	11	3	8	--	
10	12	4	9	--	
11	13	5	10	--	
12	14	6	11	--	
13	4	--	12	2	
14	1	8	13	--	
1	--	12	3	3	
2	5	13	4	--	
3	6	14	--	3	
4	7	7	6	--	
5	8	1	7	--	
6	9	2	8	--	
7	10	3	9	--	
8	11	4	10	--	
9	12	5	11	--	
10	13	6	12	--	
11	14	--	13	3	
12	4	8	14	--	
13	1	9	5	--	
14	2	10	1	--	
1	5	8	6	--	
2	6	9	7	--	
3	7	10	8	--	
4	8	11	9	--	
5	9	12	10	--	
6	10	13	11	--	
7	11	14	12	--	
8	12	7	13	--	
9	13	1	14	--	
10	14	2	5	--	
11	4	3	1	--	
12	1	4	2	--	
13	2	5	3	--	
14	3	6	4	--	
--	1	6	10	1	
--	2	9	14	2	
--	3	11	2	3	
