1	2	8	5	--	
2	3	9	6	--	
3	--	10	7	1	
4	5	11	8	--	
5	6	12	9	--	
6	7	13	10	--	
7	8	5	11	--	
8	9	1	12	--	
9	10	2	--	1	
10	11	3	13	--	
11	12	4	1	--	
12	13	--	2	1	
13	4	6	3	--	
1	3	10	8	--	
2	--	11	9	2	
3	5	12	10	--	
4	6	13	11	--	
5	7	5	12	--	
6	8	1	--	2	
7	9	2	13	--	
8	10	3	1	--	
9	11	4	2	--	
10	12	--	3	2	
11	13	6	4	--	
12	4	7	5	--	
13	1	8	6	--	
1	--	9	10	3	
2	5	10	11	--	
3	6	11	12	--	
4	7	12	--	3	
5	8	13	13	--	
6	9	5	1	--	
7	10	1	2	--	
8	11	2	3	--	
9	12	3	4	--	
10	13	4	5	--	
11	4	--	6	3	
12	1	6	7	--	
13	2	7	8	--	
1	5	6	13	--	
2	6	7	1	--	
3	7	8	2	--	
4	8	9	3	--	
5	9	10	4	--	
6	10	11	5	--	
7	11	12	6	--	
8	12	13	7	--	
9	13	5	8	--	
10	4	1	9	--	
11	1	2	10	--	
12	2	3	11	--	
13	3	4	12	--	
--	1	7	4	1	
--	2	9	7	2	
--	3	8	9	3	
