1	2	4	7	--	
2	3	5	8	--	
3	--	6	9	1	
4	5	--	10	1	
5	6	8	11	--	
6	7	9	12	--	
7	8	10	13	--	
8	9	11	14	--	
9	10	12	15	--	
10	11	13	5	--	
11	12	14	1	--	
12	13	15	2	--	
13	14	7	3	--	
14	15	1	4	--	
15	4	2	--	1	
1	3	--	11	2	
2	--	8	12	2	
3	5	9	13	--	
4	6	10	14	--	
5	7	11	15	--	
6	8	12	5	--	
7	9	13	1	--	
8	10	14	2	--	
9	11	15	3	--	
10	12	7	4	--	
11	13	1	--	2	
12	14	2	6	--	
13	15	3	7	--	
14	4	4	8	--	
15	1	5	9	--	
1	--	9	14	3	
2	5	10	15	--	
3	6	11	5	--	
4	7	12	1	--	
5	8	13	2	--	
6	9	14	3	--	
7	10	15	4	--	
8	11	7	--	3	
9	12	1	6	--	
10	13	2	7	--	
11	14	3	8	--	
12	15	4	9	--	
13	4	5	10	--	
14	1	6	11	--	
15	2	--	12	3	
1	5	8	6	--	
2	6	9	7	--	
3	7	10	8	--	
4	8	11	9	--	
5	9	12	10	--	
6	10	13	11	--	
7	11	14	12	--	
8	12	15	13	--	
9	13	7	14	--	
10	14	1	15	--	
11	15	2	5	--	
12	4	3	1	--	
13	1	4	2	--	
14	2	5	3	--	
15	3	6	4	--	
--	1	3	6	1	
--	2	6	10	2	
--	3	8	13	3	
