23	--	3	5	1	
1	2	5	7	--	
2	3	6	8	--	
3	4	7	9	--	
4	5	8	10	--	
5	6	9	11	--	
6	7	10	12	--	
7	8	11	13	--	
8	9	12	14	--	
9	10	13	15	--	
10	11	14	16	--	
20	21	--	2	1	
11	12	15	17	--	
12	13	16	18	--	
13	14	17	19	--	
14	15	18	20	--	
15	16	19	21	--	
16	17	20	22	--	
17	18	21	23	--	
19	20	24	1	--	
21	22	1	3	--	
22	23	2	4	--	
24	1	4	6	--	
18	19	23	--	1	
1	3	9	13	--	
2	4	10	14	--	
3	5	11	15	--	
4	6	12	16	--	
5	7	13	17	--	
6	8	14	18	--	
7	9	15	19	--	
8	10	16	20	--	
9	11	17	21	--	
10	12	18	22	--	
11	13	19	23	--	
12	14	20	24	--	
13	15	21	1	--	
14	16	23	2	--	
15	17	24	3	--	
16	18	22	4	--	
17	19	1	5	--	
18	20	2	6	--	
19	21	3	7	--	
20	22	4	8	--	
21	23	5	9	--	
22	24	6	10	--	
23	1	7	11	--	
24	2	8	12	--	
20	--	7	12	2	
1	4	12	17	--	
2	5	13	18	--	
3	6	14	19	--	
4	7	15	20	--	
5	8	16	21	--	
6	9	17	22	--	
8	11	19	24	--	
9	12	20	1	--	
10	13	21	2	--	
11	14	23	3	--	
12	15	--	4	2	
13	16	22	5	--	
14	17	1	6	--	
15	18	2	7	--	
16	19	3	8	--	
17	20	4	9	--	
18	21	5	10	--	
19	22	6	11	--	
21	24	8	13	--	
22	1	9	14	--	
23	2	10	15	--	
24	3	11	16	--	
7	10	18	--	2	
1	5	14	20	--	
2	6	15	21	--	
3	7	16	22	--	
4	8	17	23	--	
5	9	18	24	--	
6	10	19	1	--	
7	11	20	2	--	
8	12	21	3	--	
9	13	23	4	--	
10	14	24	5	--	
11	15	22	6	--	
12	16	1	7	--	
13	17	2	8	--	
14	18	3	9	--	
15	19	4	10	--	
16	20	5	11	--	
17	21	6	12	--	
18	22	7	13	--	
19	23	8	14	--	
20	24	9	15	--	
21	1	10	16	--	
22	2	11	17	--	
23	3	12	18	--	
24	4	13	19	--	
--	24	22	24	1	
--	23	24	23	2	
