1	2	3	5	
2	3	4	6	
3	4	5	7	
4	5	6	8	
5	6	7	9	
6	7	8	10	
7	8	9	11	
8	9	10	12	
9	10	12	1	
10	11	11	2	
11	12	1	3	
12	1	2	4	
9	nuke	3	7	1	
1	3	5	8	
2	4	6	9	
3	5	7	10	
4	6	8	11	
5	7	9	12	
6	8	10	1	
7	9	12	2	
8	10	11	3	
9	11	1	4	
10	12	2	5	
11	1	3	6	
12	2	4	7	
6	9	nuke	4	1	
1	4	7	11	
3	6	9	1	
4	7	10	2	
5	8	12	3	
7	10	1	5	
8	11	2	6	
10	1	4	8	
11	2	5	9	
12	3	6	10	
2	5	8	nuke	1	
1	5	9	2	
2	6	10	3	
3	7	12	4	
4	8	11	5	
5	9	1	6	
6	10	2	7	
7	11	3	8	
8	12	4	9	
9	1	5	10	
10	2	6	11	
11	3	7	12	
12	4	8	1	
nuke	12	11	12	1	
