1	2	3	4	--	
2	3	4	5	--	
3	4	5	6	--	
4	5	6	7	--	
5	6	7	8	--	
6	7	8	9	--	
7	8	10	10	--	
8	9	9	1	--	
9	10	1	2	--	
10	1	2	3	--	
7	--	3	6	1	
1	3	5	7	--	
2	4	6	8	--	
3	5	7	9	--	
4	6	8	10	--	
5	7	10	1	--	
6	8	9	2	--	
7	9	1	3	--	
8	10	2	4	--	
9	1	3	5	--	
10	2	4	6	--	
4	7	--	3	1	
2	5	8	1	--	
3	6	10	2	--	
5	8	1	4	--	
6	9	2	5	--	
8	1	4	7	--	
9	2	5	8	--	
10	3	6	9	--	
1	4	7	--	1	
1	5	10	3	--	
2	6	9	4	--	
3	7	1	5	--	
4	8	2	6	--	
5	9	3	7	--	
6	10	4	8	--	
7	1	5	9	--	
8	2	6	10	--	
9	3	7	1	--	
10	4	8	2	--	
--	10	9	10	1	
