1	2	5	12	--	
2	3	6	13	--	
3	--	7	14	1	
4	5	8	15	--	
5	6	9	16	--	
6	7	10	17	--	
7	8	11	18	--	
8	9	12	19	--	
9	10	--	20	1	
10	11	14	21	--	
11	12	15	22	--	
12	13	16	23	--	
13	14	17	24	--	
14	15	18	25	--	
15	16	19	26	--	
16	17	20	27	--	
17	18	21	28	--	
18	19	22	29	--	
19	20	23	5	--	
20	21	24	1	--	
21	22	25	2	--	
22	23	26	3	--	
23	24	27	4	--	
24	25	28	--	1	
25	26	29	6	--	
26	27	13	7	--	
27	28	1	8	--	
28	29	2	9	--	
29	4	3	10	--	
1	3	9	23	--	
2	--	10	24	2	
3	5	11	25	--	
4	6	12	26	--	
5	7	--	27	2	
6	8	14	28	--	
7	9	15	29	--	
8	10	16	5	--	
9	11	17	1	--	
10	12	18	2	--	
11	13	19	3	--	
12	14	20	4	--	
13	15	21	--	2	
14	16	22	6	--	
15	17	23	7	--	
16	18	24	8	--	
17	19	25	9	--	
18	20	26	10	--	
19	21	27	11	--	
20	22	28	12	--	
21	23	29	13	--	
22	24	13	14	--	
23	25	1	15	--	
24	26	2	16	--	
25	27	3	17	--	
26	28	4	18	--	
27	29	5	19	--	
28	4	6	20	--	
29	1	7	21	--	
1	--	12	5	3	
2	5	--	1	3	
3	6	14	2	--	
4	7	15	3	--	
5	8	16	4	--	
6	9	17	--	3	
7	10	18	6	--	
8	11	19	7	--	
9	12	20	8	--	
10	13	21	9	--	
11	14	22	10	--	
12	15	23	11	--	
13	16	24	12	--	
14	17	25	13	--	
15	18	26	14	--	
16	19	27	15	--	
17	20	28	16	--	
18	21	29	17	--	
19	22	13	18	--	
20	23	1	19	--	
21	24	2	20	--	
22	25	3	21	--	
23	26	4	22	--	
24	27	5	23	--	
25	28	6	24	--	
26	29	7	25	--	
27	4	8	26	--	
28	1	9	27	--	
29	2	10	28	--	
1	5	14	6	--	
2	6	15	7	--	
3	7	16	8	--	
4	8	17	9	--	
5	9	18	10	--	
6	10	19	11	--	
7	11	20	12	--	
8	12	21	13	--	
9	13	22	14	--	
10	14	23	15	--	
11	15	24	16	--	
12	16	25	17	--	
13	17	26	18	--	
14	18	27	19	--	
15	19	28	20	--	
16	20	29	21	--	
17	21	13	22	--	
18	22	1	23	--	
19	23	2	24	--	
20	24	3	25	--	
21	25	4	26	--	
22	26	5	27	--	
23	27	6	28	--	
24	28	7	29	--	
25	29	8	5	--	
26	4	9	1	--	
27	1	10	2	--	
28	2	11	3	--	
29	3	12	4	--	
--	1	4	11	1	
--	2	8	22	2	
--	3	11	29	3	
