1	2	3	4	--	
2	3	4	5	--	
3	4	5	6	--	
4	5	6	7	--	
5	6	7	8	--	
6	7	8	9	--	
7	8	9	10	--	
8	9	10	11	--	
9	10	11	12	--	
10	11	12	13	--	
11	12	14	14	--	
12	13	13	1	--	
13	14	1	2	--	
14	1	2	3	--	
11	--	3	6	1	
1	3	5	7	--	
2	4	6	8	--	
3	5	7	9	--	
4	6	8	10	--	
5	7	9	11	--	
6	8	10	12	--	
7	9	11	13	--	
8	10	12	14	--	
9	11	14	1	--	
10	12	13	2	--	
11	13	1	3	--	
12	14	2	4	--	
13	1	3	5	--	
14	2	4	6	--	
8	11	--	3	1	
1	4	7	10	--	
2	5	8	11	--	
3	6	9	12	--	
4	7	10	13	--	
6	9	12	1	--	
7	10	14	2	--	
9	12	1	4	--	
10	13	2	5	--	
12	1	4	7	--	
13	2	5	8	--	
14	3	6	9	--	
5	8	11	--	1	
1	5	9	13	--	
2	6	10	14	--	
3	7	11	1	--	
4	8	12	2	--	
5	9	14	3	--	
6	10	13	4	--	
7	11	1	5	--	
8	12	2	6	--	
9	13	3	7	--	
10	14	4	8	--	
11	1	5	9	--	
12	2	6	10	--	
13	3	7	11	--	
14	4	8	12	--	
--	14	13	14	1	
