1	2	3	4	--	
2	3	4	5	--	
3	4	5	6	--	
4	5	6	7	--	
5	6	7	8	--	
6	7	8	9	--	
7	8	9	10	--	
8	9	10	11	--	
9	10	11	12	--	
10	11	12	13	--	
11	12	13	14	--	
12	13	14	15	--	
13	14	15	16	--	
14	15	16	17	--	
15	16	17	18	--	
16	17	18	19	--	
17	18	19	20	--	
18	19	20	21	--	
19	20	21	22	--	
20	21	23	23	--	
21	22	22	1	--	
22	23	1	2	--	
23	1	2	3	--	
20	--	3	6	1	
1	3	5	7	--	
2	4	6	8	--	
3	5	7	9	--	
4	6	8	10	--	
5	7	9	11	--	
6	8	10	12	--	
7	9	11	13	--	
8	10	12	14	--	
9	11	13	15	--	
10	12	14	16	--	
11	13	15	17	--	
12	14	16	18	--	
13	15	17	19	--	
14	16	18	20	--	
15	17	19	21	--	
16	18	20	22	--	
17	19	21	23	--	
18	20	23	1	--	
19	21	22	2	--	
20	22	1	3	--	
21	23	2	4	--	
22	1	3	5	--	
23	2	4	6	--	
17	20	--	3	1	
1	4	7	10	--	
2	5	8	11	--	
3	6	9	12	--	
4	7	10	13	--	
5	8	11	14	--	
6	9	12	15	--	
7	10	13	16	--	
8	11	14	17	--	
9	12	15	18	--	
10	13	16	19	--	
11	14	17	20	--	
12	15	18	21	--	
13	16	19	22	--	
15	18	21	1	--	
16	19	23	2	--	
18	21	1	4	--	
19	22	2	5	--	
21	1	4	7	--	
22	2	5	8	--	
23	3	6	9	--	
14	17	20	--	1	
1	5	9	13	--	
2	6	10	14	--	
3	7	11	15	--	
4	8	12	16	--	
5	9	13	17	--	
6	10	14	18	--	
7	11	15	19	--	
8	12	16	20	--	
9	13	17	21	--	
10	14	18	22	--	
11	15	19	23	--	
12	16	20	1	--	
13	17	21	2	--	
14	18	23	3	--	
15	19	22	4	--	
16	20	1	5	--	
17	21	2	6	--	
18	22	3	7	--	
19	23	4	8	--	
20	1	5	9	--	
21	2	6	10	--	
22	3	7	11	--	
23	4	8	12	--	
--	23	22	23	1	
