1	2	4	13	--	
2	3	5	14	--	
3	--	6	15	1	
4	5	7	16	--	
5	6	8	17	--	
6	7	9	18	--	
7	8	10	19	--	
8	9	11	8	--	
9	10	12	1	--	
10	11	--	2	1	
11	12	14	3	--	
12	13	15	4	--	
13	14	16	5	--	
14	15	17	6	--	
15	16	18	7	--	
16	17	19	--	1	
17	18	13	9	--	
18	19	1	10	--	
19	4	2	11	--	
1	3	7	17	--	
2	--	8	18	2	
3	5	9	19	--	
4	6	10	8	--	
5	7	11	1	--	
6	8	12	2	--	
7	9	--	3	2	
8	10	14	4	--	
9	11	15	5	--	
10	12	16	6	--	
11	13	17	7	--	
12	14	18	--	2	
13	15	19	9	--	
14	16	13	10	--	
15	17	1	11	--	
16	18	2	12	--	
17	19	3	13	--	
18	4	4	14	--	
19	1	5	15	--	
1	--	9	8	3	
2	5	10	1	--	
3	6	11	2	--	
4	7	12	3	--	
5	8	--	4	3	
6	9	14	5	--	
7	10	15	6	--	
8	11	16	7	--	
9	12	17	--	3	
10	13	18	9	--	
11	14	19	10	--	
12	15	13	11	--	
13	16	1	12	--	
14	17	2	13	--	
15	18	3	14	--	
16	19	4	15	--	
17	4	5	16	--	
18	1	6	17	--	
19	2	7	18	--	
1	5	14	9	--	
2	6	15	10	--	
3	7	16	11	--	
4	8	17	12	--	
5	9	18	13	--	
6	10	19	14	--	
7	11	13	15	--	
8	12	1	16	--	
9	13	2	17	--	
10	14	3	18	--	
11	15	4	19	--	
12	16	5	8	--	
13	17	6	1	--	
14	18	7	2	--	
15	19	8	3	--	
16	4	9	4	--	
17	1	10	5	--	
18	2	11	6	--	
19	3	12	7	--	
--	1	3	12	1	
--	2	6	16	2	
--	3	8	19	3	
