1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2
1	2	5	3	5	7	7	5	3	7	3
2	1	6	4	6	8	8	6	4	8	4
2	5	3	5	7	7	5	3	7	3	1
1	6	4	6	8	8	6	4	8	4	2
5	3	5	7	8	5	3	7	4	2	1
6	4	6	8	7	6	4	8	3	1	2
3	5	7	8	5	3	8	4	1	2	5
4	6	8	7	6	4	7	3	2	1	6
5	7	8	6	3	7	4	2	1	5	4
6	8	7	5	4	8	3	1	2	6	3
7	8	6	3	8	4	1	2	5	3	5
8	7	5	4	7	3	2	1	6	4	6
7	6	3	8	3	1	2	5	4	6	7
8	5	4	7	4	2	1	6	3	5	8
6	3	8	4	1	2	5	4	5	7	7
5	4	7	3	2	1	6	3	6	8	8
3	8	3	1	2	5	4	6	8	7	6
4	7	4	2	1	6	3	5	7	8	5
8	4	1	2	5	4	5	7	8	6	4
7	3	2	1	6	3	6	8	7	5	3
4	2	1	6	4	5	8	8	6	3	7
3	1	2	5	3	6	7	7	5	4	8
