1	1	1	1	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	2	2	2	1	2	2	2	16	2	2	2	2	2	2	2	2	2	2	2	
1	3	3	3	2	3	3	3	2	3	3	13	3	3	3	3	3	3	3	3	
2	4	4	4	1	4	4	4	1	4	4	14	4	4	3	4	4	4	4	4	
2	5	5	5	2	5	5	5	3	5	5	15	5	5	4	5	5	1	5	5	
2	6	6	6	3	6	6	6	2	6	6	16	6	6	1	6	6	2	6	6	
3	7	7	7	1	7	7	7	2	7	7	1	7	7	4	7	7	13	7	7	
3	8	8	8	2	8	8	8	1	8	8	3	8	8	2	8	8	14	8	8	
3	9	9	9	4	9	9	9	4	9	9	2	9	9	13	9	9	3	9	9	
4	10	10	10	3	10	10	10	4	10	10	4	10	10	14	10	10	1	10	10	
4	11	11	11	4	11	11	11	5	11	11	3	11	11	15	11	11	2	11	11	
4	12	12	12	5	12	12	12	3	12	12	1	12	12	16	12	12	4	12	12	
5	13	13	13	3	13	13	13	5	13	13	2	13	13	4	13	13	4	13	13	
5	14	14	14	4	14	14	14	3	14	14	4	14	14	1	14	14	15	14	14	
5	15	15	15	5	15	15	15	4	15	15	3	15	15	3	15	15	16	15	15	
16	16	16	16	5	16	16	16	5	16	16	4	16	16	2	16	16	3	16	16	
6	2	3	4	16	5	6	7	6	8	9	5	10	11	5	12	13	5	14	15	
6	3	4	5	6	6	7	8	16	9	10	6	11	12	6	13	14	6	15	16	
6	4	5	6	7	7	8	9	7	10	11	13	12	13	7	14	15	7	16	1	
7	5	6	7	6	8	9	10	6	11	12	14	13	14	7	15	16	8	1	2	
7	6	7	8	7	9	10	11	8	12	13	15	14	15	8	16	1	5	2	3	
7	7	8	9	8	10	11	12	7	13	14	16	15	16	5	1	2	6	3	4	
8	8	9	10	6	11	12	13	7	14	15	5	16	1	8	2	3	13	4	5	
8	9	10	11	7	12	13	14	6	15	16	7	1	2	6	3	4	14	5	6	
8	10	11	12	9	13	14	15	9	16	1	6	2	3	13	4	5	7	6	7	
9	11	12	13	8	14	15	16	9	1	2	8	3	4	14	5	6	5	7	8	
9	12	13	14	9	15	16	1	10	2	3	7	4	5	15	6	7	6	8	9	
9	13	14	15	10	16	1	2	8	3	4	5	5	6	16	7	8	8	9	10	
10	14	15	16	8	1	2	3	10	4	5	6	6	7	8	8	9	8	10	11	
10	15	16	1	9	2	3	4	8	5	6	8	7	8	5	9	10	15	11	12	
10	16	1	2	10	3	4	5	9	6	7	7	8	9	7	10	11	16	12	13	
16	1	2	3	10	4	5	6	10	7	8	8	9	10	6	11	12	7	13	14	
11	3	2	6	16	8	10	13	11	15	14	9	4	7	9	5	11	9	9	12	
11	4	3	7	11	9	11	14	16	16	15	10	5	8	10	6	12	10	10	13	
11	5	4	8	12	10	12	15	12	1	16	13	6	9	11	7	13	11	11	14	
12	6	5	9	11	11	13	16	11	2	1	14	7	10	11	8	14	12	12	15	
12	7	6	10	12	12	14	1	13	3	2	15	8	11	12	9	15	9	13	16	
12	8	7	11	13	13	15	2	12	4	3	16	9	12	9	10	16	10	14	1	
13	9	8	12	11	14	16	3	12	5	4	9	10	13	12	11	1	13	15	2	
13	10	9	13	12	15	1	4	11	6	5	11	11	14	10	12	2	14	16	3	
13	11	10	14	14	16	2	5	14	7	6	10	12	15	13	13	3	11	1	4	
14	12	11	15	13	1	3	6	14	8	7	12	13	16	14	14	4	9	2	5	
14	13	12	16	14	2	4	7	15	9	8	11	14	1	15	15	5	10	3	6	
14	14	13	1	15	3	5	8	13	10	9	9	15	2	16	16	6	12	4	7	
15	15	14	2	13	4	6	9	15	11	10	10	16	3	12	1	7	12	5	8	
15	16	15	3	14	5	7	10	13	12	11	12	1	4	9	2	8	15	6	9	
15	1	16	4	15	6	8	11	14	13	12	11	2	5	11	3	9	16	7	10	
16	2	1	5	15	7	9	12	15	14	13	12	3	6	10	4	10	11	8	11	
