1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	3	3	5	7	5	9	11	7	13	15	9	13	11	5	15	7	15	13	9	11	3
1	2	4	4	6	8	6	10	12	8	14	16	10	14	12	6	16	8	16	14	10	12	4
2	3	4	5	7	5	9	11	7	13	15	9	13	11	5	15	7	15	13	9	11	3	1
1	4	3	6	8	6	10	12	8	14	16	10	14	12	6	16	8	16	14	10	12	4	2
3	3	5	7	6	9	11	7	13	15	9	13	11	5	15	7	15	13	9	11	3	1	2
4	4	6	8	5	10	12	8	14	16	10	14	12	6	16	8	16	14	10	12	4	2	1
3	5	7	5	9	11	7	13	15	9	13	11	5	15	7	16	13	9	11	3	1	2	4
4	6	8	6	10	12	8	14	16	10	14	12	6	16	8	15	14	10	12	4	2	1	3
5	7	5	9	11	7	13	15	9	13	11	5	15	7	16	13	9	11	3	1	2	4	4
6	8	6	10	12	8	14	16	10	14	12	6	16	8	15	14	10	12	4	2	1	3	3
7	5	9	11	7	13	15	9	13	11	5	16	7	16	13	9	11	3	1	2	4	4	5
8	6	10	12	8	14	16	10	14	12	6	15	8	15	14	10	12	4	2	1	3	3	6
6	9	11	7	13	15	9	13	12	5	16	7	15	13	9	11	3	1	2	4	4	5	7
5	10	12	8	14	16	10	14	11	6	15	8	16	14	10	12	4	2	1	3	3	6	8
9	11	7	13	15	9	13	11	5	16	7	16	14	9	11	3	1	2	4	4	5	7	6
10	12	8	14	16	10	14	12	6	15	8	15	13	10	12	4	2	1	3	3	6	8	5
11	7	13	15	10	13	11	5	15	8	16	14	9	11	3	1	2	4	4	5	7	6	9
12	8	14	16	9	14	12	6	16	7	15	13	10	12	4	2	1	3	3	6	8	5	10
7	13	15	9	13	11	5	16	8	16	14	9	11	3	1	2	4	4	5	7	6	9	11
8	14	16	10	14	12	6	15	7	15	13	10	12	4	2	1	3	3	6	8	5	10	12
13	15	10	13	12	6	15	8	16	13	9	11	3	1	2	4	4	5	7	5	9	12	7
14	16	9	14	11	5	16	7	15	14	10	12	4	2	1	3	3	6	8	6	10	11	8
15	9	13	11	6	16	8	16	14	9	11	3	1	2	4	4	5	7	6	9	12	7	13
16	10	14	12	5	15	7	15	13	10	12	4	2	1	3	3	6	8	5	10	11	8	14
9	13	11	5	16	8	16	14	9	11	3	1	2	4	4	5	8	5	9	12	7	13	15
10	14	12	6	15	7	15	13	10	12	4	2	1	3	3	6	7	6	10	11	8	14	16
13	12	6	16	8	16	13	9	12	3	1	2	4	4	5	7	6	10	11	7	13	15	9
14	11	5	15	7	15	14	10	11	4	2	1	3	3	6	8	5	9	12	8	14	16	10
12	6	15	7	16	13	10	11	3	1	2	4	4	6	7	6	9	12	7	13	15	10	13
11	5	16	8	15	14	9	12	4	2	1	3	3	5	8	5	10	11	8	14	16	9	14
6	15	7	16	14	10	11	3	1	2	4	4	6	7	6	10	11	7	13	15	10	13	11
5	16	8	15	13	9	12	4	2	1	3	3	5	8	5	9	12	8	14	16	9	14	12
16	8	16	14	10	11	3	1	2	4	4	5	7	6	10	11	8	13	15	9	13	12	6
15	7	15	13	9	12	4	2	1	3	3	6	8	5	9	12	7	14	16	10	14	11	5
8	16	14	9	12	3	1	2	4	4	5	7	6	9	12	7	13	15	10	13	12	6	15
7	15	13	10	11	4	2	1	3	3	6	8	5	10	11	8	14	16	9	14	11	5	16
16	14	10	11	3	1	2	3	4	5	7	6	10	11	7	13	15	10	14	12	6	16	8
15	13	9	12	4	2	1	4	3	6	8	5	9	12	8	14	16	9	13	11	5	15	7
13	9	12	3	1	2	4	3	5	8	6	9	12	8	13	16	9	13	12	6	16	8	15
14	10	11	4	2	1	3	4	6	7	5	10	11	7	14	15	10	14	11	5	15	7	16
9	12	4	1	2	4	4	5	8	6	9	12	7	13	16	10	13	12	6	16	8	16	14
10	11	3	2	1	3	3	6	7	5	10	11	8	14	15	9	14	11	5	15	7	15	13
12	3	1	2	4	4	5	8	6	9	12	7	14	16	10	13	12	6	16	8	16	13	9
11	4	2	1	3	3	6	7	5	10	11	8	13	15	9	14	11	5	15	7	15	14	10
3	1	2	4	4	6	8	6	9	12	7	14	16	10	13	11	6	15	8	16	14	10	11
4	2	1	3	3	5	7	5	10	11	8	13	15	9	14	12	5	16	7	15	13	9	12
