1	1	1	1	1	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	2	2	2	2	1	2	2	2	2	25	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
1	3	3	3	3	2	3	3	3	3	26	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
2	4	4	4	4	1	4	4	4	4	27	4	4	4	1	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
2	5	5	5	5	2	5	5	5	5	28	5	5	5	2	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
2	6	6	6	6	3	6	6	6	6	1	6	6	6	25	6	6	6	2	6	6	6	3	6	6	6	6	6	6	6	6	6	6	6	
3	7	7	7	7	1	7	7	7	7	1	7	7	7	26	7	7	7	4	7	7	7	5	7	7	7	3	7	7	7	7	7	7	7	
3	8	8	8	8	2	8	8	8	8	2	8	8	8	27	8	8	8	2	8	8	8	1	8	8	8	4	8	8	8	8	8	8	8	
3	9	9	9	9	3	9	9	9	9	3	9	9	9	28	9	9	9	1	9	9	9	2	9	9	9	7	9	9	9	4	9	9	9	
4	10	10	10	10	3	10	10	10	10	2	10	10	10	1	10	10	10	25	10	10	10	5	10	10	10	2	10	10	10	3	10	10	10	
4	11	11	11	11	4	11	11	11	11	3	11	11	11	2	11	11	11	26	11	11	11	1	11	11	11	3	11	11	11	6	11	11	11	
4	12	12	12	12	5	12	12	12	12	4	12	12	12	3	12	12	12	27	12	12	12	6	12	12	12	1	12	12	12	2	12	12	12	
5	13	13	13	13	4	13	13	13	13	2	13	13	13	3	13	13	13	28	13	13	13	7	13	13	13	8	13	13	13	1	13	13	13	
5	14	14	14	14	5	14	14	14	14	3	14	14	14	4	14	14	14	5	14	14	14	8	14	14	14	25	14	14	14	3	14	14	14	
5	15	15	15	15	6	15	15	15	15	4	15	15	15	5	15	15	15	6	15	15	15	25	15	15	15	2	15	15	15	4	15	15	15	
6	16	16	16	16	4	16	16	16	16	4	16	16	16	4	16	16	16	7	16	16	16	26	16	16	16	4	16	16	16	5	16	16	16	
6	17	17	17	17	5	17	17	17	17	5	17	17	17	5	17	17	17	8	17	17	17	4	17	17	17	5	17	17	17	25	17	17	17	
6	18	18	18	18	6	18	18	18	18	6	18	18	18	6	18	18	18	5	18	18	18	6	18	18	18	6	18	18	18	7	18	18	18	
7	19	19	19	19	6	19	19	19	19	5	19	19	19	4	19	19	19	4	19	19	19	7	19	19	19	7	19	19	19	26	19	19	19	
7	20	20	20	20	7	20	20	20	20	6	20	20	20	5	20	20	20	7	20	20	20	8	20	20	20	8	20	20	20	8	20	20	20	
7	21	21	21	21	8	21	21	21	21	7	21	21	21	7	21	21	21	8	21	21	21	27	21	21	21	1	21	21	21	5	21	21	21	
8	22	22	22	22	7	22	22	22	22	7	22	22	22	8	22	22	22	3	22	22	22	28	22	22	22	5	22	22	22	7	22	22	22	
8	23	23	23	23	8	23	23	23	23	8	23	23	23	6	23	23	23	4	23	23	23	2	23	23	23	26	23	23	23	8	23	23	23	
8	24	24	24	24	9	24	24	24	24	5	24	24	24	7	24	24	24	6	24	24	24	6	24	24	24	8	24	24	24	27	24	24	24	
9	25	25	25	25	7	25	25	25	25	8	25	25	25	7	25	25	25	5	25	25	25	3	25	25	25	27	25	25	25	1	25	25	25	
9	26	26	26	26	8	26	26	26	26	6	26	26	26	8	26	26	26	6	26	26	26	4	26	26	26	7	26	26	26	28	26	26	26	
9	27	27	27	27	9	27	27	27	27	7	27	27	27	6	27	27	27	7	27	27	27	7	27	27	27	28	27	27	27	6	27	27	27	
28	28	28	28	28	9	28	28	28	28	8	28	28	28	8	28	28	28	8	28	28	28	8	28	28	28	6	28	28	28	2	28	28	28	
10	2	3	4	5	28	6	7	8	9	9	10	11	12	9	13	14	15	9	16	17	18	9	19	20	21	9	22	23	24	9	25	26	27	
