1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
1	5	5	5	2	5	5	5	3	5	5	5	4	5	5	
2	6	6	6	1	6	6	6	4	6	6	6	3	6	6	
3	7	7	7	4	7	7	7	1	7	7	7	2	7	7	
4	8	8	8	3	8	8	8	2	8	8	8	1	8	8	
1	9	9	9	3	9	9	9	4	9	9	9	2	9	9	
2	10	10	10	4	10	10	10	3	10	10	10	1	10	10	
3	11	11	11	1	11	11	11	2	11	11	11	4	11	11	
4	12	12	12	2	12	12	12	1	12	12	12	3	12	12	
5	1	2	3	5	4	5	6	5	7	8	9	5	10	11	
6	2	3	4	6	5	6	7	6	8	9	10	6	11	12	
7	3	4	5	7	6	7	8	7	9	10	11	7	12	1	
8	4	5	6	8	7	8	9	8	10	11	12	8	1	2	
5	5	6	7	6	8	9	10	7	11	12	1	8	2	3	
6	6	7	8	5	9	10	11	8	12	1	2	7	3	4	
7	7	8	9	8	10	11	12	5	1	2	3	6	4	5	
8	8	9	10	7	11	12	1	6	2	3	4	5	5	6	
5	9	10	11	7	12	1	2	8	3	4	5	6	6	7	
6	10	11	12	8	1	2	3	7	4	5	6	5	7	8	
7	11	12	1	5	2	3	4	6	5	6	7	8	8	9	
8	12	1	2	6	3	4	5	5	6	7	8	7	9	10	
9	1	3	2	9	6	9	11	9	10	4	7	9	5	8	
10	2	4	3	10	7	10	12	10	11	5	8	10	6	9	
11	3	5	4	11	8	11	1	11	12	6	9	11	7	10	
12	4	6	5	12	9	12	2	12	1	7	10	12	8	11	
9	5	7	6	10	10	1	3	11	2	8	11	12	9	12	
10	6	8	7	9	11	2	4	12	3	9	12	11	10	1	
11	7	9	8	12	12	3	5	9	4	10	1	10	11	2	
12	8	10	9	11	1	4	6	10	5	11	2	9	12	3	
9	9	11	10	11	2	5	7	12	6	12	3	10	1	4	
10	10	12	11	12	3	6	8	11	7	1	4	9	2	5	
11	11	1	12	9	4	7	9	10	8	2	5	12	3	6	
12	12	2	1	10	5	8	10	9	9	3	6	11	4	7	
