1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	
1	2	3	4	5	6	7	8	9	
2	3	4	5	6	7	8	9	10	
3	4	5	6	7	8	9	10	1	
4	5	6	7	8	9	10	1	2	
5	6	7	8	9	10	1	2	3	
6	7	8	9	10	1	2	3	4	
7	8	9	10	1	2	3	4	5	
8	9	10	1	2	3	4	5	6	
9	10	1	2	3	4	5	6	7	
10	1	2	3	4	5	6	7	8	
1	3	2	7	9	8	4	6	5	
2	4	3	8	10	9	5	7	6	
3	5	4	9	1	10	6	8	7	
4	6	5	10	2	1	7	9	8	
5	7	6	1	3	2	8	10	9	
6	8	7	2	4	3	9	1	10	
7	9	8	3	5	4	10	2	1	
8	10	9	4	6	5	1	3	2	
9	1	10	5	7	6	2	4	3	
10	2	1	6	8	7	3	5	4	
