1	1	1	1	2	1	1	3	1	1	4	1	1	5	1	1	6	1	1	7	1	1	8	1	1	9	1	1	1	1	1	2	1	1	3	1	1	4	1	1	
1	2	2	2	5	2	2	8	2	2	1	2	2	7	2	2	1	2	2	3	2	2	5	2	2	4	2	2	2	2	2	3	2	2	2	2	2	2	2	2	
2	3	3	3	2	3	3	5	3	3	8	3	3	4	3	3	7	3	3	6	3	3	3	3	3	5	3	3	4	3	3	1	3	3	1	3	3	2	3	3	
2	4	4	4	1	4	4	3	4	4	5	4	4	8	4	4	4	4	4	1	4	4	6	4	4	3	4	4	5	4	4	4	4	4	2	4	4	3	4	4	
3	5	5	5	1	5	5	2	5	5	4	5	5	1	5	5	8	5	5	4	5	5	7	5	5	6	5	5	3	5	5	5	5	5	4	5	5	2	5	5	
2	6	6	6	3	6	6	2	6	6	2	6	6	5	6	6	5	6	6	8	6	6	4	6	6	7	6	6	6	6	6	3	6	6	5	6	6	1	6	6	
4	7	7	7	1	7	7	1	7	7	2	7	7	2	7	7	6	7	7	5	7	7	1	7	7	4	7	7	7	7	7	6	7	7	1	7	7	5	7	7	
5	8	8	8	4	8	8	2	8	8	3	8	8	2	8	8	2	8	8	7	8	8	5	8	8	8	8	8	4	8	8	7	8	8	6	8	8	3	8	8	
3	9	9	9	5	9	9	4	9	9	2	9	9	3	9	9	2	9	9	2	9	9	8	9	9	5	9	9	8	9	9	4	9	9	7	9	9	6	9	9	
6	10	10	10	3	10	10	5	10	10	1	10	10	2	10	10	3	10	10	2	10	10	2	10	10	9	10	10	5	10	10	8	10	10	4	10	10	7	10	10	
7	11	11	11	6	11	11	1	11	11	5	11	11	4	11	11	2	11	11	3	11	11	2	11	11	2	11	11	1	11	11	5	11	11	8	11	11	1	11	11	
4	12	12	12	7	12	12	6	12	12	3	12	12	1	12	12	4	12	12	2	12	12	3	12	12	2	12	12	2	12	12	2	12	12	5	12	12	8	12	12	
8	13	13	13	4	13	13	7	13	13	6	13	13	3	13	13	5	13	13	4	13	13	2	13	13	3	13	13	2	13	13	1	13	13	3	13	13	5	13	13	
5	14	14	14	8	14	14	4	14	14	7	14	14	6	14	14	3	14	14	5	14	14	4	14	14	2	14	14	3	14	14	1	14	14	2	14	14	4	14	14	
1	15	15	15	9	15	15	5	15	15	7	15	15	3	15	15	4	15	15	9	15	15	7	15	15	8	15	15	6	15	15	6	15	15	8	15	15	9	15	15	
9	16	16	16	2	16	16	9	16	16	5	16	16	7	16	16	3	16	16	4	16	16	9	16	16	7	16	16	8	16	16	6	16	16	6	16	16	8	16	16	
8	17	17	17	9	17	17	3	17	17	9	17	17	1	17	17	7	17	17	3	17	17	4	17	17	1	17	17	7	17	17	8	17	17	6	17	17	6	17	17	
6	18	18	18	8	18	18	9	18	18	4	18	18	9	18	18	5	18	18	1	18	18	3	18	18	4	18	18	9	18	18	7	18	18	8	18	18	6	18	18	
6	19	19	19	6	19	19	8	19	19	9	19	19	5	19	19	9	19	19	5	19	19	7	19	19	3	19	19	4	19	19	9	19	19	7	19	19	8	19	19	
8	20	20	20	6	20	20	6	20	20	8	20	20	9	20	20	6	20	20	9	20	20	5	20	20	7	20	20	3	20	20	4	20	20	9	20	20	7	20	20	
7	21	21	21	8	21	21	6	21	21	6	21	21	8	21	21	9	21	21	7	21	21	9	21	21	5	21	21	7	21	21	3	21	21	4	21	21	9	21	21	
9	22	22	22	7	22	22	8	22	22	6	22	22	6	22	22	8	22	22	9	22	22	8	22	22	1	22	22	5	22	22	7	22	22	1	22	22	1	22	22	
4	23	23	23	9	23	23	7	23	23	8	23	23	6	23	23	1	23	23	8	23	23	9	23	23	9	23	23	9	23	23	5	23	23	7	23	23	3	23	23	
3	24	24	24	4	24	24	9	24	24	7	24	24	8	24	24	1	24	24	6	24	24	1	24	24	1	24	24	1	24	24	9	24	24	5	24	24	7	24	24	
7	25	25	25	3	25	25	4	25	25	9	25	25	7	25	25	8	25	25	6	25	25	6	25	25	8	25	25	9	25	25	2	25	25	9	25	25	5	25	25	
5	26	26	26	7	26	26	1	26	26	1	26	26	9	26	26	7	26	26	8	26	26	6	26	26	6	26	26	8	26	26	9	26	26	3	26	26	9	26	26	
9	27	27	27	5	27	27	7	27	27	3	27	27	4	27	27	9	27	27	1	27	27	1	27	27	6	27	27	6	27	27	8	27	27	9	27	27	4	27	27	
10	1	2	3	11	4	5	12	6	7	13	8	9	14	10	11	15	12	13	16	14	15	17	16	17	18	18	19	10	20	21	11	22	23	12	24	25	13	26	27	
10	2	3	4	14	5	6	17	7	8	10	9	10	16	11	12	10	13	14	12	15	16	14	17	18	13	19	20	11	21	22	12	23	24	11	25	26	11	27	1	
11	3	4	5	11	6	7	14	8	9	17	10	11	13	12	13	16	14	15	15	16	17	12	18	19	14	20	21	13	22	23	10	24	25	10	26	27	11	1	2	
11	4	5	6	10	7	8	12	9	10	14	11	12	17	13	14	13	15	16	10	17	18	15	19	20	12	21	22	14	23	24	13	25	26	11	27	1	12	2	3	
12	5	6	7	10	8	9	11	10	11	13	12	13	10	14	15	17	16	17	13	18	19	16	20	21	15	22	23	12	24	25	14	26	27	13	1	2	11	3	4	
11	6	7	8	12	9	10	11	11	12	11	13	14	14	15	16	14	17	18	17	19	20	13	21	22	16	23	24	15	25	26	12	27	1	14	2	3	10	4	5	
13	7	8	9	10	10	11	10	12	13	11	14	15	11	16	17	15	18	19	14	20	21	10	22	23	13	24	25	16	26	27	15	1	2	10	3	4	14	5	6	
14	8	9	10	13	11	12	11	13	14	12	15	16	11	17	18	11	19	20	16	21	22	14	23	24	17	25	26	13	27	1	16	2	3	15	4	5	12	6	7	
12	9	10	11	14	12	13	13	14	15	11	16	17	12	18	19	11	20	21	11	22	23	17	24	25	14	26	27	17	1	2	13	3	4	16	5	6	15	7	8	
15	10	11	12	12	13	14	14	15	16	10	17	18	11	19	20	12	21	22	11	23	24	11	25	26	18	27	1	14	2	3	17	4	5	13	6	7	16	8	9	
16	11	12	13	15	14	15	10	16	17	14	18	19	13	20	21	11	22	23	12	24	25	11	26	27	11	1	2	10	3	4	14	5	6	17	7	8	10	9	10	
13	12	13	14	16	15	16	15	17	18	12	19	20	10	21	22	13	23	24	11	25	26	12	27	1	11	2	3	11	4	5	11	6	7	14	8	9	17	10	11	
17	13	14	15	13	16	17	16	18	19	15	20	21	12	22	23	14	24	25	13	26	27	11	1	2	12	3	4	11	5	6	10	7	8	12	9	10	14	11	12	
14	14	15	16	17	17	18	13	19	20	16	21	22	15	23	24	12	25	26	14	27	1	13	2	3	11	4	5	12	6	7	10	8	9	11	10	11	13	12	13	
