1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
27	27	19	27	15	13	7	23	9	13	9	5	3	25	23	21	2	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	29	1	25	15	3	7	21	25	19	17	3
28	28	20	28	16	14	8	24	10	14	10	6	4	26	24	22	1	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	30	2	26	16	4	8	22	26	20	18	4
27	19	27	15	13	7	23	9	13	9	5	3	25	23	21	2	5	9	11	29	19	7	13	23	15	11	12	17	29	21	17	5	29	1	25	15	3	7	21	25	19	17	3	27
28	20	28	16	14	8	24	10	14	10	6	4	26	24	22	1	6	10	12	30	20	8	14	24	16	12	11	18	30	22	18	6	30	2	26	16	4	8	22	26	20	18	4	28
19	27	15	13	7	23	9	13	10	5	3	25	23	21	1	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	29	2	25	15	3	7	21	25	19	17	3	27	28
20	28	16	14	8	24	10	14	9	6	4	26	24	22	2	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	30	1	26	16	4	8	22	26	20	18	4	28	27
28	15	13	7	23	9	13	9	5	3	25	23	21	2	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	29	1	25	15	3	7	21	25	19	17	3	27	28	19
27	16	14	8	24	10	14	10	6	4	26	24	22	1	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	30	2	26	16	4	8	22	26	20	18	4	28	27	20
15	13	7	23	9	14	10	5	3	25	23	21	2	5	9	11	29	19	7	13	23	15	11	12	17	29	21	17	5	29	1	25	15	3	7	21	25	19	17	3	27	27	19	28
16	14	8	24	10	13	9	6	4	26	24	22	1	6	10	12	30	20	8	14	24	16	12	11	18	30	22	18	6	30	2	26	16	4	8	22	26	20	18	4	28	28	20	27
13	7	23	9	14	10	5	3	25	23	21	1	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	29	2	25	15	3	7	21	26	19	17	3	27	28	19	28	15
14	8	24	10	13	9	6	4	26	24	22	2	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	30	1	26	16	4	8	22	25	20	18	4	28	27	20	27	16
7	23	9	13	9	5	3	25	23	21	2	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	30	1	25	15	3	7	21	25	19	17	4	27	28	20	28	15	13
8	24	10	14	10	6	4	26	24	22	1	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	29	2	26	16	4	8	22	26	20	18	3	28	27	19	27	16	14
23	9	14	10	5	3	25	24	21	2	5	9	11	29	19	7	13	23	15	11	11	17	29	21	17	5	29	1	25	15	3	7	21	26	19	17	4	27	28	19	28	15	13	7
24	10	13	9	6	4	26	23	22	1	6	10	12	30	20	8	14	24	16	12	12	18	30	22	18	6	30	2	26	16	4	8	22	25	20	18	3	28	27	20	27	16	14	8
9	14	10	5	3	25	23	21	1	5	10	11	29	19	7	13	23	15	12	11	17	29	21	17	5	29	2	25	15	3	7	21	26	19	17	4	27	28	19	28	15	13	7	23
10	13	9	6	4	26	24	22	2	6	9	12	30	20	8	14	24	16	11	12	18	30	22	18	6	30	1	26	16	4	8	22	25	20	18	3	28	27	20	27	16	14	8	24
13	10	5	3	25	24	21	1	5	9	11	29	19	7	13	23	15	11	12	17	30	21	17	5	30	2	25	15	3	7	21	26	19	17	4	27	28	19	28	15	13	7	23	9
14	9	6	4	26	23	22	2	6	10	12	30	20	8	14	24	16	12	11	18	29	22	18	6	29	1	26	16	4	8	22	25	20	18	3	28	27	20	27	16	14	8	24	10
10	5	3	25	23	21	1	5	10	11	29	19	7	13	23	15	12	12	17	30	21	17	5	29	2	25	15	3	7	21	26	19	17	4	27	27	19	28	15	13	7	23	9	14
9	6	4	26	24	22	2	6	9	12	30	20	8	14	24	16	11	11	18	29	22	18	6	30	1	26	16	4	8	22	25	20	18	3	28	28	20	27	16	14	8	24	10	13
5	3	25	24	21	2	5	9	11	29	19	7	13	24	15	11	12	17	30	21	17	5	29	1	25	15	3	7	21	26	19	18	4	27	28	19	28	15	13	7	23	9	14	10
6	4	26	23	22	1	6	10	12	30	20	8	14	23	16	12	11	18	29	22	18	6	30	2	26	16	4	8	22	25	20	17	3	28	27	20	27	16	14	8	24	10	13	9
3	25	23	21	2	5	10	11	29	19	7	13	23	15	12	12	17	30	21	17	5	29	1	25	15	3	7	21	26	19	18	4	27	27	19	28	16	13	7	23	9	14	9	5
4	26	24	22	1	6	9	12	30	20	8	14	24	16	11	11	18	29	22	18	6	30	2	26	16	4	8	22	25	20	17	3	28	28	20	27	15	14	8	24	10	13	10	6
25	23	21	1	6	10	11	29	19	7	13	23	15	12	12	17	30	21	17	5	30	2	25	15	3	7	21	26	19	18	3	27	28	19	28	16	13	7	23	9	14	10	5	3
26	24	22	2	5	9	12	30	20	8	14	24	16	11	11	18	29	22	18	6	29	1	26	16	4	8	22	25	20	17	4	28	27	20	27	15	14	8	24	10	13	9	6	4
24	21	2	5	9	11	29	19	7	13	24	15	11	12	17	30	21	17	5	30	1	25	15	3	7	21	26	19	18	4	27	28	19	28	16	13	7	23	9	14	9	5	3	25
