1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	10	27	31	11	12	
12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	10	27	31	11	
11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	10	27	31	
31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	10	27	
27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	10	
10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	28	
28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	25	
25	28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	9	
9	25	28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	24	
24	9	25	28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	26	
26	24	9	25	28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	29	
29	26	24	9	25	28	10	27	31	11	12	1	12	11	31	27	10	28	25	9	24	26	29	34	32	33	8	30	7	6	5	4	3	2	2	3	4	5	6	7	30	8	33	32	34	
