1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	1	2	3	4	5	6	7	8	9	10	11	12	
1	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	1	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	
13	2	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	1	37	9	34	31	26	29	33	27	10	11	12	28	36	30	
30	13	3	13	30	36	28	12	11	1	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	1	9	34	31	26	29	33	27	10	11	12	28	36	
36	30	13	4	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	
28	36	30	13	5	13	30	36	28	12	1	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	1	1	1	
12	28	36	30	13	6	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	
11	12	28	36	30	13	7	13	30	36	28	1	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	
10	11	12	28	36	30	13	8	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	
27	10	11	12	28	36	30	13	9	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	
33	27	10	11	12	28	36	30	13	10	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	
29	33	27	10	11	12	28	36	30	13	11	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	1	34	31	26	
26	29	33	27	10	11	12	28	36	30	13	12	1	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	
31	26	29	33	27	10	11	12	28	36	30	13	13	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	1	35	37	9	34	
34	31	26	29	33	27	10	11	12	28	36	30	1	14	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	1	7	6	5	4	3	2	1	1	1	1	1	1	32	8	35	37	9	
9	34	31	26	29	33	27	10	11	12	28	36	30	13	15	13	30	36	28	12	11	10	27	33	29	1	31	34	9	37	35	8	32	7	6	5	4	3	1	2	3	4	5	6	7	32	8	35	37	
37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	16	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	
35	37	9	34	31	26	29	33	27	1	1	1	28	36	30	13	17	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	1	2	2	3	4	5	6	7	32	8	
8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	18	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	
32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	19	13	30	36	28	12	11	10	1	33	1	26	1	34	9	37	1	8	32	7	6	5	1	3	2	2	3	4	5	6	7	
7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	20	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	
6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	21	13	30	36	28	12	11	10	27	33	29	26	31	1	9	37	35	8	32	7	6	1	4	3	2	2	3	4	5	
5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	22	13	30	36	28	12	11	10	27	33	29	26	31	34	9	1	35	8	32	7	6	5	4	3	2	2	3	4	
4	5	6	7	32	8	35	37	1	34	31	26	29	33	27	10	11	12	28	36	30	13	23	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	1	5	4	3	2	2	3	
3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	24	13	30	36	1	12	11	10	27	1	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	
2	3	4	5	6	7	32	1	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	25	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	1	6	5	4	3	2	
2	1	1	1	1	1	1	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	26	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	
3	1	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	27	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	
4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	28	13	1	36	28	12	11	10	27	33	29	26	31	34	9	37	35	1	32	7	6	5	
5	4	1	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	29	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	
6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	30	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	
7	6	5	1	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	31	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	
32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	1	36	1	13	32	13	30	36	28	12	11	10	27	33	29	26	31	34	1	37	35	8	
8	32	7	6	1	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	33	13	30	1	28	12	11	10	27	33	29	26	31	34	9	37	35	
35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	34	13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	
37	35	8	32	7	1	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	1	10	11	12	28	36	30	13	35	13	30	36	28	12	11	10	27	33	29	26	31	34	9	
9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	36	13	30	36	28	12	11	10	27	33	29	26	31	34	
34	9	37	35	8	32	1	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	1	29	33	27	10	11	12	28	36	30	13	37	13	30	36	28	12	11	10	27	33	29	26	31	
31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	1	13	30	36	28	12	11	10	27	33	29	26	
26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	1	33	27	10	11	12	28	1	30	13	2	13	30	36	28	12	11	10	27	33	29	
29	26	31	34	9	37	35	1	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	3	13	30	36	28	12	11	1	27	33	
33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	4	13	30	36	28	12	11	10	27	
27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	1	27	10	11	12	28	36	30	13	5	13	30	36	28	12	1	10	
10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	1	26	29	33	27	10	11	12	28	36	30	13	6	13	30	36	28	12	11	
11	10	27	33	29	26	31	34	1	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	7	13	30	36	28	1	
12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	8	13	30	36	28	
28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	9	13	30	36	
36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	1	31	26	29	33	27	10	11	12	28	36	30	13	10	13	30	
30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	11	13	
13	30	36	28	12	11	10	27	33	29	26	31	34	9	37	35	8	32	7	6	5	4	3	2	2	3	4	5	6	7	32	8	35	37	9	34	31	26	29	33	27	10	11	12	28	36	30	13	12	
1	9	25	24	23	22	21	1	20	19	18	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	8	21	22	23	24	25	9	
9	2	9	25	24	23	22	21	8	20	19	18	7	17	6	1	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	8	21	22	23	24	25	
25	9	3	9	25	24	23	22	21	8	20	19	18	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	1	21	22	23	24	
24	25	9	4	9	25	24	23	22	21	8	20	19	18	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	8	21	22	23	
23	24	25	9	5	9	25	24	23	22	21	8	20	19	18	7	1	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	8	21	22	
22	23	24	25	9	6	9	25	24	23	22	21	8	20	19	18	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	1	18	19	20	8	21	
21	22	23	24	25	9	7	9	25	24	23	22	21	8	20	19	18	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	1	17	7	18	19	20	8	
8	21	22	23	24	25	9	8	1	25	24	23	22	21	8	20	19	1	7	17	6	16	15	5	11	4	13	3	10	12	2	14	14	2	12	10	3	13	4	11	5	15	16	6	17	7	18	19	20	
