1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	
3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	
4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	
5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	
6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	
7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	
8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	
9	10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	7	
10	11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	7	8	
11	12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	7	8	9	
12	13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	7	8	9	10	
13	14	15	16	17	18	19	20	21	22	1	2	3	4	5	6	7	8	9	10	11	
