1	3	5	7	9	11	13	15	17	19	21	23	25	27	29	31	1	3	5	7	9	3	11	15	5	17	19	7	9	21	19	1	9	7	19	17	5	15
2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	2	4	6	8	10	4	12	16	6	18	20	8	10	22	20	2	10	8	20	18	6	16
2	11	27	31	25	23	9	29	7	5	3	3	5	7	1	9	23	25	31	27	11	15	19	31	29	27	25	1	21	23	23	1	13	1	1	1	1	19
1	12	28	32	26	24	10	30	8	6	4	4	6	8	2	10	24	26	32	28	12	16	20	32	30	28	26	2	22	24	24	2	14	2	2	2	2	20
11	3	11	27	31	25	23	9	29	7	5	4	3	5	7	29	9	23	25	31	27	31	19	16	17	9	17	15	19	31	29	27	25	13	21	23	23	21
12	4	12	28	32	26	24	10	30	8	6	3	4	6	8	30	10	24	26	32	28	32	20	15	18	10	18	16	20	32	30	28	26	14	22	24	24	22
27	12	6	11	27	31	25	23	9	29	7	5	3	3	5	7	29	9	23	25	31	29	9	23	25	31	27	11	15	11	27	31	26	23	9	1	7	5
28	11	5	12	28	32	26	24	10	30	8	6	4	4	6	8	30	10	24	26	32	30	10	24	26	32	28	12	16	12	28	32	25	24	10	2	8	6
31	27	12	8	11	27	31	25	23	9	29	7	5	3	3	5	7	29	9	23	25	30	27	25	13	21	23	23	22	13	25	27	29	31	19	15	17	1
32	28	11	7	12	28	32	26	24	10	30	8	6	4	4	6	8	30	10	24	26	29	28	26	14	22	24	24	21	14	26	28	30	32	20	16	18	2
25	31	27	11	9	1	27	31	25	23	9	29	7	6	3	3	5	7	29	9	23	23	21	13	26	28	29	31	19	15	17	21	17	15	20	31	29	27
26	32	28	12	10	2	28	32	26	24	10	30	8	5	4	4	6	8	30	10	24	24	22	14	25	27	30	32	20	16	18	22	18	16	19	32	30	28
23	25	31	27	12	12	11	27	31	25	23	9	29	7	6	3	3	5	7	29	1	32	25	23	9	29	7	5	3	3	5	7	29	9	23	25	2	28
24	26	32	28	11	11	12	28	32	26	24	10	30	8	5	4	4	6	8	30	2	31	26	24	10	30	8	6	4	4	6	8	30	10	24	26	1	27
9	23	25	32	27	2	14	11	27	31	25	1	9	29	7	6	4	1	1	1	29	3	5	7	29	1	23	25	31	27	11	21	11	27	31	25	24	9
10	24	26	31	28	1	13	12	28	32	26	2	10	30	8	5	3	2	2	2	30	4	6	8	30	2	24	26	32	28	12	22	12	28	32	26	23	10
29	9	23	25	32	27	11	16	11	27	31	25	23	9	1	8	5	2	3	5	7	11	3	11	27	31	26	24	9	29	7	5	3	3	5	7	30	9
30	10	24	26	31	28	12	15	12	28	32	26	24	10	2	7	6	1	4	6	8	12	4	12	28	32	25	23	10	30	8	6	4	4	6	8	29	10
7	29	9	23	25	31	28	11	17	11	27	31	1	23	9	30	8	5	4	3	5	11	27	32	26	23	9	29	7	5	3	3	5	8	29	9	23	25
8	30	10	24	26	32	27	12	18	12	28	32	2	24	10	29	7	6	3	4	6	12	28	31	25	24	10	30	8	6	4	4	6	7	30	10	24	26
5	7	29	9	23	26	32	28	11	19	11	27	31	25	23	10	30	7	2	4	3	21	13	25	28	29	31	19	1	1	20	17	15	19	31	1	27	25
6	8	30	10	24	25	31	27	12	20	12	28	32	26	24	9	29	8	1	3	4	22	14	26	27	30	32	20	2	2	19	18	16	20	32	2	28	26
3	5	7	29	1	24	25	31	28	12	22	11	27	31	25	23	10	30	8	6	3	7	5	3	3	5	7	29	9	23	25	32	27	11	27	11	28	31
4	6	8	30	2	23	26	32	27	11	21	12	28	32	26	24	9	29	7	5	4	8	6	4	4	6	8	30	10	24	26	31	28	12	28	12	27	32
4	1	1	1	29	9	24	25	32	28	11	24	11	1	31	25	24	10	30	1	6	17	19	8	9	22	11	21	9	7	1	18	5	15	11	3	13	13
3	2	2	2	30	10	23	26	31	27	12	23	12	2	32	26	23	9	29	2	5	18	20	7	10	21	12	22	10	8	2	17	6	16	12	4	14	14
